i,t,m,Energy,Protein,Vitamin A,Vitamin D,Vitamin E,Vitamin C,Vitamin B-6,Vitamin B-12,Calcium,Magnesium,Iron,Zinc
0077-001-001,2019-20,Mainland Rural,1.3574852790324268,1.5107801978110715,0.6306171260500902,0.15851157164269383,0.23844489825605952,0.22172973238286886,1.2553274336308562,1.7598550839102953,0.34868386466332113,1.3192576711813613,0.9241398674079471,1.212610599393036
0077-003-001,2019-20,Mainland Rural,0.6470568325484288,0.6557626026849549,0.1491794002629792,0.027347014993274864,0.14119260766590128,0.06810517253927545,0.6572213240218113,0.38167036337496824,0.09815218422225881,0.7794562753094066,0.4891639720142915,0.5686266298618023
0078-001-001,2019-20,Mainland Rural,0.5725448602030686,0.5778492035498549,0.025853818674984604,0.00604084752011036,0.18878402119996734,0.010094977238160567,0.7105388169879385,0.11413487212604406,0.03834132041260877,0.944074491112008,0.5786837295450499,0.548384899862307
0079-001-001,2019-20,Mainland Rural,0.5615617404258516,0.5725750067608234,0.07181446424302128,0.01954872774413439,0.1582767892124809,0.02317949490852606,0.6330657370234216,0.23431205483274636,0.05934629131593916,0.8151185739234628,0.5058774256064473,0.5174465267356885
0080-001-001,2019-20,Mainland Rural,0.5485354270187845,0.5743433975631405,0.12775465916828618,0.03370170781528758,0.14401894264143938,0.04103646170287776,0.6093498115137342,0.3785747612815639,0.0647653560544811,0.7396254113954054,0.47080453199037553,0.5070806799444186
0081-001-001,2019-20,Mainland Rural,0.6799164122575533,0.701544225510266,0.22635931234904091,0.04376472340664161,0.1556128115172052,0.09905128781147092,0.7114307566221819,0.5091957658316547,0.12624759569927077,0.827861480443913,0.5340379662540634,0.6040006721710939
0081-004-001,2019-20,Mainland Rural,0.5617321596525051,0.5816995430049194,0.07154926522078037,0.01981344707841091,0.1676453063645242,0.022715001765480063,0.6591967159194906,0.24632743374426508,0.06058407451372472,0.8477271847994338,0.5298853369916243,0.531120485693807
0082-001-001,2019-20,Mainland Rural,0.7729037909099966,0.7747900708706897,0.12530269132947583,0.025438600269919464,0.21063606492294865,0.05479176137786335,0.8561134874871623,0.3088849589318791,0.10741712581278032,1.0950185746287684,0.6810680719108796,0.6980588292824671
0082-003-001,2019-20,Mainland Other Urban,0.7219865521549279,0.8137875314131311,0.2163900437311285,0.050560719816343205,0.15664682045873454,0.08135098508281399,0.7542547944183091,0.6924227974796666,0.12314801702471423,0.8471118323478461,0.5566935621995057,0.6849776298812207
0082-003-002,2019-20,Dar Es Salaam,1.1931255273726542,1.3442946098700101,0.6521823245077168,0.1302026284402176,0.13120847205857614,0.2725097042369167,0.995339293767256,1.6309916724506641,0.26138141261946535,0.9060276310944111,0.6308372948073465,1.0412962184434744
0082-004-001,2019-20,Mainland Other Urban,0.4113344762025663,0.4509801076158603,0.09544839221028878,0.03230405744339769,0.09545095852114319,0.019612735554654637,0.4281904627269053,0.3555808851290686,0.04669136287137131,0.5088335632174094,0.32577131222905814,0.3832896450971232
0082-005-001,2019-20,Dar Es Salaam,0.9596373164190531,1.0939599802573339,0.5946560194592424,0.14582626038683968,0.12543193059389485,0.20407819175006306,0.823118444006463,1.4886206772563213,0.19613654792649504,0.7605585714297222,0.5404216071004018,0.8327606169835113
0083-001-001,2019-20,Mainland Rural,0.5333499356923438,0.5589782056262195,0.1989247079420663,0.04542259552948415,0.0980688772077436,0.07534833873488768,0.5080017256432927,0.49075338983841943,0.09644609129718676,0.5609513601575508,0.3626632705700743,0.46223572543374425
0084-001-001,2019-20,Mainland Rural,0.5951003318938588,0.6317269531366463,0.10276364625897817,0.02984727909693832,0.16771480612864617,0.029441549703389174,0.6846044911345448,0.3545260098559814,0.06524901424011446,0.8546888109489466,0.5396047367067414,0.565313240911906
0084-002-001,2019-20,Mainland Rural,0.6460000242431932,0.6809852567483305,0.26733654581597277,0.06145832100092494,0.119146294202017,0.09872710158334416,0.6151678167469851,0.6498004095416041,0.10507622080103889,0.6712192537489168,0.4384444732509607,0.5597315002610987
0085-001-001,2019-20,Mainland Rural,1.7725129958388857,2.0509304965510666,1.06960025583016,0.24881672225912632,0.31296988593671055,0.39683801509061345,1.704213870040324,2.6871130632590767,0.4601683550451404,1.6850262784779035,1.2139676531842465,1.620365918181617
0085-002-001,2019-20,Mainland Other Urban,0.7840778492595024,0.8784300637268747,0.35919053636902687,0.09337336510916788,0.14026352324610197,0.11836227761821273,0.7403253750298574,0.9967453267370989,0.16299627033195824,0.7784744399236981,0.5325785321463438,0.7047808573281981
