i,t,m,Beef,Bread,Coconuts,Eggs,Maize (flour),Plantains,Rice (husked),Salt,Soft drinks,Sugar,Sweets,Tea (dry)
0028-001-001,2019-20,Mainland Other Urban,0.7644183413379914,0.8367859522512716,0.8887774280052625,0.25917659926912706,5.48700486646718,2.441912543686335,2.9013053182768016,0.1943069575168775,0.5645489395379949,0.46183265227215886,0.007227704587525322,0.02051647073982935
0029-001-001,2019-20,Mainland Other Urban,0.9460847327097396,1.063107700994775,1.4599528280515894,0.3928526081366627,8.36238826589729,3.3538953625284833,5.07309518802657,0.27187887402923927,1.4049215750771986,0.7191179512753825,0.03760203646911891,0.02983806451820527
0030-001-001,2019-20,Mainland Other Urban,1.0375415648280373,0.9133754124526252,1.6490013873129314,0.3313823360419988,3.997063233581974,2.2776008055344485,2.8743072778655643,0.2104026237544482,1.066059884678085,0.6127074267305879,0.05604990705237847,0.024575781565990867
0031-001-001,2019-20,Mainland Other Urban,2.502282226267873,0.8977923300015077,3.489750847634384,0.7035773492174321,6.541122819710231,3.196571007768178,8.018893164398332,0.36228014819846616,3.130780089129623,1.7675318274993603,0.10081622315427445,0.06673070588459805
0032-001-001,2019-20,Mainland Other Urban,2.3255247935293704,0.9913561504699826,3.428201886028731,0.6228608807661107,2.062807093042763,1.9976812338529921,3.6790917211008125,0.26582929159633617,4.172070134165693,1.16650467731765,0.15454181496792346,0.0542412476818803
0034-001-001,2019-20,Dar Es Salaam,2.087891684096568,3.2660902682069186,2.845704270431624,0.5664645199313479,8.657118090969636,6.590394861753633,9.297221310051986,0.282875204325729,3.3080868184295555,1.151488788026826,0.05793726562986963,0.028973612731697906
0036-001-001,2019-20,Mainland Other Urban,0.7044287450498286,0.5751453095719394,0.8405877148130756,0.18585672386854354,3.3537855604441575,1.3318553213578523,1.7298531295605133,0.1602896793915336,0.5857806132517807,0.3202161884684847,0.02154496591692736,0.017014029371294433
0038-001-001,2019-20,Mainland Other Urban,1.1883211425337437,0.6360130553926707,1.6714123012427176,0.3854352126340738,4.831570085073783,1.7393164113728143,3.0851426834732423,0.2363461216929255,1.3457897921974513,0.6754569776798667,0.03785585144366607,0.027217252803229373
0039-001-001,2019-20,Mainland Rural,1.435675939678441,0.8178404285296533,3.0288767678903796,0.5076901419224124,4.45814406023775,3.9763844954595324,4.105547603825216,0.2915232862423066,1.9444571703196836,1.196616392931642,0.11289013116169712,0.036822751070860305
0040-001-001,2019-20,Mainland Other Urban,0.6098292350138469,0.665383579804093,0.8739214953998663,0.17077567226018073,3.6765921776199044,1.5365209967606408,1.8324779824442863,0.16855686816703805,0.5315104090735008,0.33822714247188684,0.018515345353155317,0.019133472917504443
0041-001-001,2019-20,Mainland Other Urban,0.7734194756965566,0.61567853645625,1.0313496400840902,0.17430351519392573,4.045667362522224,1.7279908473548495,1.646717443290296,0.16498310398069796,0.7515497184307531,0.32705717035249493,0.015409931032085735,0.017502639128761523
0041-004-001,2019-20,Mainland Other Urban,1.0162928994987794,0.6505669674184112,1.434062629104571,0.3451448489943556,3.0271501789670587,1.6127555671146212,2.357386544764107,0.21888400229483373,1.106808843347462,0.5955699469217431,0.03954135503821265,0.027442694581485988
0042-001-001,2019-20,Dar Es Salaam,0.8154391321396526,0.797508444533812,1.1357719793838672,0.21876507319237734,3.389445215705119,1.5610687611272054,2.617700696982026,0.17868440337390257,0.9726365369849638,0.4423691492522611,0.038084993489710985,0.01998309029292711
0042-001-002,2019-20,Mainland Rural,0.6003070343078386,0.5372226123102821,1.016168344085191,0.2187785009864437,2.2663773270752823,1.3834738141543361,1.3388115244192567,0.1695947166829747,0.8588584211126834,0.36937990013233785,0.01970580817894966,0.01665978452429375
0043-001-001,2019-20,Mainland Rural,0.7224055966609281,0.8246551290492511,1.2379409196589792,0.26246494722139985,6.0520937154688665,3.4968159037917044,2.713993333207879,0.20336682493171632,0.7289480589638262,0.5034803121549473,0.014187665008713395,0.018834184664767856
0044-001-001,2019-20,Mainland Other Urban,1.1750442319449774,0.6331552339184847,1.6492355658293452,0.380684352676077,4.843749465625146,1.7333582241639858,3.052164773141587,0.23508773905536834,1.3224566690644552,0.6661335400293493,0.03694590381207007,0.026895718190617403
0045-001-001,2019-20,Mainland Rural,1.2381795545674785,0.8704405036541845,2.143370157591865,0.4370002366061669,4.882912122667844,3.0799481569926153,3.964374674003628,0.24177019691145288,1.6192166094987896,0.865593681808932,0.030343936221435195,0.02506370414021067
0046-001-001,2019-20,Mainland Rural,0.8536113144796426,2.5335627481467213,2.5429996299049185,0.46276499018473133,11.9819272368659,9.109809543270991,12.126832466506206,0.41672745258737276,2.2415567991449357,1.1714331801087827,0.058985270106643735,0.0331360533124859
0047-001-001,2019-20,Mainland Other Urban,0.727662900556878,1.1823517149832647,1.5933891352106824,0.1713919548705778,11.757246786556918,4.23655216690644,3.376795772950621,0.23352747188232445,0.9441139561603878,0.5178948440028055,0.028399345397849905,0.02391184347251041
