i,t,m,Energy,Protein,Vitamin A,Vitamin D,Vitamin E,Vitamin C,Vitamin B-6,Vitamin B-12,Calcium,Magnesium,Iron,Zinc
3286-001-01,2020-21,Zanzibar,52962.443989047075,1364.802135636253,7125.57291721867,33.49024303427833,34.875576300065624,367.73787426942835,24.622248943151064,69.65621278731606,5886.4572882479515,7095.170072378874,214.98180198862346,229.0217405473189
3325-001-01,2020-21,Zanzibar,71258.786772067,1672.433691072641,17166.18649871418,43.55326905076527,34.696211526668925,1201.2567519824688,32.408404878440116,81.62987933228936,10129.272241341228,8529.934885710905,252.09337768417558,274.42939556494105
3339-001-01,2020-21,Zanzibar,72221.06117975032,1712.445380148717,12020.859178912575,50.61361088466405,34.27490108965717,665.2353256059514,29.890699672682207,88.05699762748311,8526.260529931411,8418.04335575658,248.7469804671237,280.62064099629816
3364-001-01,2020-21,Zanzibar,56919.107722416746,1430.0165579485622,13238.809712530596,71.82741363627929,36.18713569300492,575.4569169171641,25.136594757845366,101.48057482574694,7552.010463896153,6695.820073403416,220.69083169761552,227.0339199413898
3378-001-01,2020-21,Zanzibar,19270.08548636341,491.71293243171743,1841.3008438954607,11.61229669459586,16.80380796439634,67.83385522378738,8.795718341089367,20.58542695539904,1653.6915540072102,3051.7315189857536,87.59270635022344,82.25794082368805
3399-001-01,2020-21,Zanzibar,63383.0417385881,1561.4163999251411,11807.807732860329,49.07340180055519,24.86987911242589,662.7749955895678,26.0887833561031,89.9130097303129,8594.465598488385,6599.5272418669565,207.34444369804,251.10725646613218
3435-001-01,2020-21,Zanzibar,59610.602858842416,1457.0831788289947,11423.820026061543,56.46489335331139,31.689278079816138,557.7498949701571,24.887489719645412,88.44447905638684,8127.738419213164,6831.9152374356,215.9418694173181,234.02347212958574
3462-001-01,2020-21,Zanzibar,37010.31556088442,947.581492073301,5107.4418423263205,23.756025171171835,22.218433152734363,278.3106854131177,15.650196052721547,47.01947729140411,5803.396249178032,4711.603760138831,146.91481484097588,154.2540709438151
3474-001-01,2020-21,Zanzibar,44286.15285348509,1092.4841309701453,6036.045881090434,30.63325036122486,30.058335613950316,298.7754857035872,19.37180638353157,53.86453388507403,6009.719429886379,5982.490428758622,180.94496847039719,181.01060093615578
3490-001-01,2020-21,Zanzibar,50542.68886311812,1218.55937961518,8092.434129742639,35.95312800862573,25.47844028088789,435.7482693918696,20.6524873179762,61.17687785690862,6428.137743715028,6014.9267855715,178.73450135897653,197.33169083762235
