i,t,m,0
0311-002-001,2019-20,Mainland Other Urban,30063.493100892076
0312-001-001,2019-20,Mainland Rural,20297.64025831001
0312-002-001,2019-20,Mainland Rural,19591.101517734653
0313-001-001,2019-20,Mainland Rural,38724.92194373743
0314-001-001,2019-20,Mainland Rural,40851.33878806317
0314-001-005,2019-20,Mainland Rural,37133.64771334384
0315-001-001,2019-20,Mainland Other Urban,25740.611869764867
0315-001-006,2019-20,Mainland Other Urban,26955.80621830761
0316-001-001,2019-20,Mainland Other Urban,61525.55828225784
0317-002-001,2019-20,Mainland Other Urban,24669.442316388206
0318-001-001,2019-20,Mainland Other Urban,37780.34868495254
0319-001-001,2019-20,Mainland Other Urban,34591.28362345129
0319-002-001,2019-20,Mainland Other Urban,21981.486658441234
0320-001-001,2019-20,Mainland Other Urban,22801.341619185507
0321-001-001,2019-20,Mainland Rural,32540.191449256847
0322-001-001,2019-20,Mainland Rural,26030.08732311647
0322-006-001,2019-20,Mainland Other Urban,47866.07018699015
0323-001-001,2019-20,Mainland Other Urban,29938.431120175224
0324-001-001,2019-20,Mainland Other Urban,38582.36582690854
0325-002-001,2019-20,Mainland Rural,37579.887238354415
0326-001-001,2019-20,Mainland Other Urban,26690.43467123034
0327-001-001,2019-20,Mainland Rural,30631.76250087164
0328-001-001,2019-20,Mainland Other Urban,32477.93632401877
0330-001-001,2019-20,Mainland Rural,46881.04296964702
0331-001-001,2019-20,Mainland Rural,26144.61914608076
0332-004-001,2019-20,Mainland Rural,34732.03738075592
0335-001-001,2019-20,Mainland Rural,39720.75620813858
0337-001-001,2019-20,Mainland Other Urban,31135.826278440545
0337-003-001,2019-20,Mainland Rural,23716.07571882362
0338-001-001,2019-20,Mainland Rural,23074.38765786675
0339-001-001,2019-20,Mainland Other Urban,22734.28409639624
0340-001-001,2019-20,Mainland Rural,35662.0583325894
0341-001-001,2019-20,Mainland Rural,24604.187739995807
0342-001-001,2019-20,Mainland Rural,37954.75788950916
0342-001-002,2019-20,Mainland Rural,20996.090535601714
0343-001-001,2019-20,Mainland Other Urban,24959.223158900382
0343-005-001,2019-20,Dar Es Salaam,66571.7679349092
0344-001-001,2019-20,Dar Es Salaam,45225.432461572396
0346-001-001,2019-20,Mainland Other Urban,25294.104853944682
0347-001-001,2019-20,Mainland Rural,42944.61458196497
0348-001-001,2019-20,Mainland Rural,34323.32484607019
0348-001-005,2019-20,Mainland Rural,34046.757358886294
0349-001-001,2019-20,Mainland Rural,26684.442733869448
0350-001-001,2019-20,Mainland Other Urban,21790.771603219408
0352-001-001,2019-20,Mainland Rural,27695.218935123423
0353-001-001,2019-20,Mainland Rural,21100.11962676757
0354-001-001,2019-20,Mainland Rural,32243.94271748819
0356-001-001,2019-20,Mainland Rural,28457.840690039746
0357-003-001,2019-20,Mainland Rural,31749.918023170936
0358-001-001,2019-20,Mainland Rural,19044.864672352644
0359-001-001,2019-20,Mainland Other Urban,40342.15498636177
0360-001-001,2019-20,Mainland Other Urban,40254.065111168544
0362-001-001,2019-20,Mainland Rural,29536.030264819794
0363-001-001,2019-20,Dar Es Salaam,53395.176060579455
0363-003-001,2019-20,Mainland Rural,29557.028146400113
0364-001-001,2019-20,Mainland Rural,28334.697391525322
0366-001-001,2019-20,Mainland Other Urban,26555.066330607646
0367-001-001,2019-20,Mainland Other Urban,30617.34858408078
0368-001-001,2019-20,Mainland Other Urban,47944.38979697486
0369-001-001,2019-20,Mainland Other Urban,53900.767437423056
0369-001-010,2019-20,Mainland Other Urban,25781.82137323942
0370-001-001,2019-20,Mainland Rural,26374.3976093375
0370-002-001,2019-20,Dar Es Salaam,39732.279003792086
0371-001-001,2019-20,Mainland Other Urban,21763.05005485734
0372-001-001,2019-20,Dar Es Salaam,30030.7880088239
0372-004-002,2019-20,Mainland Rural,19270.478802008038
0373-001-001,2019-20,Mainland Other Urban,55930.26777860162
